Season,Episode,Character,Appearance_Type
5,Hell Comes to Quahog,Peter Griffin,Featuring
5,Hell Comes to Quahog,Meg Griffin,Featuring
5,Saving Private Brian,Peter Griffin,Featuring
5,Saving Private Brian,Lois Griffin,Featuring
5,Saving Private Brian,Chris Griffin,Featuring
5,Saving Private Brian,Stewie Griffin,Featuring
5,Saving Private Brian,Brian Griffin,Featuring
5,Whistle While Your Wife Works,Brian Griffin,Featuring
5,Whistle While Your Wife Works,Stewie Griffin,Featuring
5,Whistle While Your Wife Works,Jillian,Featuring
5,Whistle While Your Wife Works,Peter Griffin,Featuring
5,Whistle While Your Wife Works,Lois Griffin,Featuring
5,Prick Up Your Ears,Peter Griffin,Featuring
5,Prick Up Your Ears,Lois Griffin,Featuring
5,Prick Up Your Ears,Meg Griffin,Featuring
5,Prick Up Your Ears,Chris Griffin,Featuring
5,Prick Up Your Ears,Stewie Griffin,Featuring
5,Prick Up Your Ears,Brian Griffin,Featuring
5,Chick Cancer,Peter Griffin,Featuring
5,Chick Cancer,Lois Griffin,Featuring
5,Chick Cancer,Stewie Griffin,Featuring
5,Chick Cancer,Olivia Fuller,Featuring
5,Barely Legal,Meg Griffin,Featuring
5,Barely Legal,Brian Griffin,Featuring
5,Road to Rupert,Peter Griffin,Featuring
5,Road to Rupert,Stewie Griffin,Featuring
5,Road to Rupert,Brian Griffin,Featuring
5,Road to Rupert,Meg Griffin,Featuring
5,Road to Rupert,Rupert,Featuring
5,Peter's Two Dads,Peter Griffin,Featuring
5,Peter's Two Dads,Brian Griffin,Featuring
5,Peter's Two Dads,Stewie Griffin,Featuring
5,Peter's Two Dads,Meg Griffin,Featuring
5,Peter's Two Dads,Lois Griffin,Featuring
5,Peter's Two Dads,Mickey McFinnigan,Featuring
5,The Tan Aquatic with Steve Zissou,Stewie Griffin,Featuring
5,The Tan Aquatic with Steve Zissou,Brian Griffin,Featuring
5,The Tan Aquatic with Steve Zissou,Chris Griffin,Featuring
5,The Tan Aquatic with Steve Zissou,Peter Griffin,Featuring
5,Airport '07,Peter Griffin,Featuring
5,Airport '07,Quagmire,Featuring
5,Airport '07,Joe Swanson,Featuring
5,Airport '07,Cleveland Brown,Featuring
5,Bill & Peter's Bogus Journey,Peter Griffin,Featuring
5,Bill & Peter's Bogus Journey,Bill Clinton,Featuring
5,Bill & Peter's Bogus Journey,Lois Griffin,Featuring
5,No Meals on Wheels,Peter Griffin,Featuring
5,No Meals on Wheels,Joe Swanson,Featuring
5,Boys Do Cry,Lois Griffin,Featuring
5,Boys Do Cry,Stewie Griffin,Featuring
5,Boys Do Cry,Peter Griffin,Featuring
5,No Chris Left Behind,Lois Griffin,Featuring
5,No Chris Left Behind,Chris Griffin,Featuring
5,No Chris Left Behind,Peter Griffin,Featuring
5,"It Takes a Village Idiot, and I Married One",Lois Griffin,Featuring
5,"It Takes a Village Idiot, and I Married One",Mayor Adam West,Featuring
5,Meet the Quagmires,Peter Griffin,Featuring
5,Meet the Quagmires,Lois Griffin,Featuring
5,Meet the Quagmires,Quagmire,Featuring
5,Meet the Quagmires,Brian Griffin,Featuring
6,Blue Harvest,Peter Griffin,Featuring
6,Blue Harvest,Lois Griffin,Featuring
6,Blue Harvest,Brian Griffin,Featuring
6,Blue Harvest,Stewie Griffin,Featuring
6,Blue Harvest,Chris Griffin,Featuring
6,Blue Harvest,Quagmire,Featuring
6,Blue Harvest,Cleveland Brown,Featuring
6,Blue Harvest,Herbert as Obi-Wan Kenobi,Featuring
6,Blue Harvest,Mayor Adam West as Grand Moff Tarkin,Featuring
6,Blue Harvest,Carter Pewterschmidt as Uncle Owen Lars,Featuring
6,Blue Harvest,Barbara Pewterschmidt as Aunt Beru Lars,Featuring
6,Blue Harvest,Mort Goldman as Jawa,Featuring
6,Blue Harvest,Opie as a Tusken Raider,Featuring
6,Blue Harvest,Bruce as Greedo,Featuring
6,Blue Harvest,Meg Griffin,Featuring
6,Blue Harvest,Joe Swanson,Featuring
6,Movin' Out (Brian's Song),Jillian,Featuring
6,Movin' Out (Brian's Song),Brian Griffin,Featuring
6,Movin' Out (Brian's Song),Stewie Griffin,Featuring
6,"Believe It or Not, Joe's Walking on Air",Peter Griffin,Featuring
6,"Believe It or Not, Joe's Walking on Air",Joe Swanson,Featuring
6,Stewie Kills Lois (Part 1),Stewie Griffin,Featuring
6,Stewie Kills Lois (Part 1),Lois Griffin,Featuring
